Default Dataset,
X,Y
111.63928537393654,35.06329113924051
162.95144352124902,32.45253164556963
243.6095932785267,30.6487341772152
380.22579799809944,29.034810126582283
571.1586478126435,26.851265822784825
849.7945261646508,24.24050632911393
1234.4573546811623,21.4873417721519
1827.9076985492275,18.829113924050645
2706.6520700332467,16.123417721519004
4065.814956688449,13.797468354430386
6345.923063267762,12.041139240506354
9857.413930976407,9.857594936708871
15021.564839098555,8.718354430379769
24360.959327852717,7.7215189873417955
56843.10000742132,7.389240506329138
90869.88081249288,6.914556962025337
143194.11046515458,6.344936708860779
224569.79955397808,6.155063291139264
357284.81040611473,6.107594936708878
584994.4787164574,6.8196202531645795
802353.7825658242,6.724683544303815
1332723.7117709804,7.246835443037995
1863246.3119315635,7.389240506329138
2992894.9681324274,7.816455696202553
4738879.609717661,9.050632911392427
32936.0503323226,7.341772151898752
17.01254279852588,40.712025316455694
28.393730325088182,40.61708860759494
36.769571221405,40.37974683544304
